ICD Code Body Part,Actual Body parts,,,,,,,,,,,,,,
"Abdomen,",Abdomen,,,,,,,,,,,,,,
"Abdomen, Lower back, Pelvis,",Abdomen,back,Pelvis,,,,,,,,,,,,
"Abdomen, lower back and pelvis,",Abdomen,back,,,,,,,,,,,,,
"Abdomen, lower back, and pelvis,",Abdomen,back,and pelvis,,,,,,,,,,,,
"Abdomen, lower back, and pelvis.,",Abdomen,back,and pelvis.,,,,,,,,,,,,
"Abdomen, lower back, pelvis,",Abdomen,back,pelvis,,,,,,,,,,,,
"Abdomen.,",Abdomen,,,,,,,,,,,,,,
"Abdominal Aorta,",Abdominal Aorta,,,,,,,,,,,,,,
"Abdominal Wall,",Abdominal Wall,,,,,,,,,,,,,,
"Abdominal Wall.,",Abdominal Wall,,,,,,,,,,,,,,
"Abdominal aorta,",Abdominal aorta,,,,,,,,,,,,,,
"Abdominal aorta.,",Abdominal aorta,,,,,,,,,,,,,,
"Abdominal cavity,",Abdominal cavity,,,,,,,,,,,,,,
"Abdominal lymph nodes,",Abdominal lymph nodes,,,,,,,,,,,,,,
"Abdominal organs,",Abdominal organs,pancreas,gallbladder,liver,stomach,,,,,,,,,,
"Abdominal region,",Abdominal region,pancreas,gallbladder,liver,stomach,,,,,,,,,,
"Abdominal regions,",Abdominal regions,pancreas,gallbladder,liver,stomach,,,,,,,,,,
"Abdominal wall,",Abdominal wall,,,,,,,,,,,,,,
"Abdominal wall, lower back, and pelvis,",Abdominal wall,back,and pelvis,,,,,,,,,,,,
"Abdominal wall.,",Abdominal wall,,,,,,,,,,,,,,
"Accessory Nerve,",Accessory Nerve,,,,,,,,,,,,,,
"Accessory nerve,",Accessory nerve,,,,,,,,,,,,,,
"Accessory sinus,",sinus,,,,,,,,,,,,,,
"Accessory sinuses,",sinus,,,,,,,,,,,,,,
"Achilles Tendon.,",Achilles Tendon,,,,,,,,,,,,,,
"Achilles tendon,",Achilles tendon,,,,,,,,,,,,,,
"Acoustic nerve,",Acoustic nerve,,,,,,,,,,,,,,
"Adductor muscle of left thigh,",Adductor muscle of left thigh,,,,,,,,,,,,,,
"Adductor muscle, fascia, and tendon of left thigh,",Adductor muscle,fascia,and tendon of left thigh,,,,,,,,,,,,
"Adenoids,",Adenoids,,,,,,,,,,,,,,
"Adipose Tissue,",Adipose Tissue,,,,,,,,,,,,,,
"Adrenal Gland,",Adrenal Gland,,,,,,,,,,,,,,
"Adrenal Glands,",Adrenal Gland,,,,,,,,,,,,,,
"Adrenal gland,",Adrenal gland,,,,,,,,,,,,,,
"Adrenal gland.,",Adrenal gland,,,,,,,,,,,,,,
"Adrenal glands,",Adrenal gland,,,,,,,,,,,,,,
"Adrenal glands.,",Adrenal gland,,,,,,,,,,,,,,
"Airway,",Airway,,,,,,,,,,,,,,
"Airways,",Airways,,,,,,,,,,,,,,
"Alimentary Tract,",Alimentary Tract,,,,,,,,,,,,,,
"Alimentary tract,",Alimentary tract,,,,,,,,,,,,,,
"Amniotic Fluid,",Amniotic Fluid,,,,,,,,,,,,,,
"Amniotic cavity,",Amniotic cavity,,,,,,,,,,,,,,
"Amniotic cavity and membrane,",Amniotic cavity and membrane,,,,,,,,,,,,,,
"Amniotic fluid,",Amniotic fluid,,,,,,,,,,,,,,
"Amniotic fluid and membranes,",Amniotic fluid and membranes,,,,,,,,,,,,,,
"Amniotic fluid.,",Amniotic fluid,,,,,,,,,,,,,,
"Amniotic sac,",Amniotic sac,,,,,,,,,,,,,,
"Amniotic sac and membranes,",Amniotic sac ,membranes,,,,,,,,,,,,,
"Ampulla of Vater,",Ampulla of Vater,,,,,,,,,,,,,,
"Amputation Stump,",Amputation Stump,,,,,,,,,,,,,,
"Amputation stump,",Amputation stump,,,,,,,,,,,,,,
"Amputation stump of left lower extremity.,",Amputation stump of left lower extremity,,,,,,,,,,,,,,
"Anal Canal,",Anal Canal,,,,,,,,,,,,,,
"Anal skin,",Anal skin,,,,,,,,,,,,,,
"Ankle,",Ankle,,,,,,,,,,,,,,
"Ankle and Foot,",Ankle,Foot,,,,,,,,,,,,,
"Ankle and Foot Joints,",Ankle,Foot,,,,,,,,,,,,,
"Ankle and Foot joints.,",Ankle,Foot,,,,,,,,,,,,,
"Ankle and Foot.,",Ankle,Foot,,,,,,,,,,,,,
"Ankle and foot,",Ankle,Foot,,,,,,,,,,,,,
"Ankle and foot joints.,",Ankle,Foot,,,,,,,,,,,,,
"Ankle and foot.,",Ankle,Foot,,,,,,,,,,,,,
"Ankle and toes,",Ankle,toe,,,,,,,,,,,,,
"Ankle and toes.,",Ankle,toe,,,,,,,,,,,,,
"Ankle.,",Ankle,,,,,,,,,,,,,,
"Ankles,",Ankle,,,,,,,,,,,,,,
"Anogenital area,",Anogenital area,,,,,,,,,,,,,,
"Anterior pituitary [adenohypophyseal] hormones,",Anterior pituitary gland,,,,,,,,,,,,,,
"Anterior pituitary gland,",Anterior pituitary gland,,,,,,,,,,,,,,
"Anterior pituitary gland.,",Anterior pituitary gland,,,,,,,,,,,,,,
"Anterior tibial artery,",tibia,,,,,,,,,,,,,,
"Anus,",Anus,,,,,,,,,,,,,,
"Anus and Rectum,",Anus,Rectum,,,,,,,,,,,,,
"Anus and anal canal,",Anus,anal canal,,,,,,,,,,,,,
"Anus and anal canal.,",Anus,anal canal,,,,,,,,,,,,,
"Anus and rectum,",Anus,Rectum,,,,,,,,,,,,,
"Anus and rectum.,",Anus,Rectum,,,,,,,,,,,,,
"Anus.,",Anus,,,,,,,,,,,,,,
"Aorta,",Aorta,,,,,,,,,,,,,,
"Aortic body and other paraganglia,",Aortic body,paraganglia,,,,,,,,,,,,,
"Appendicular skeleton,",Appendicular skeleton,,,,,,,,,,,,,,
"Appendix,",Appendix,,,,,,,,,,,,,,
"Appetite.,",Appetite,,,,,,,,,,,,,,
"Arm,",Arms,,,,,,,,,,,,,,
"Arms,",Arms,,,,,,,,,,,,,,
"Arteries,",Arteries,,,,,,,,,,,,,,
"Arteries and arterioles,",Arteries,arterioles,,,,,,,,,,,,,
